Team,Conf,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
Abilene Christian,wac,206,-1.076923077,0,4,0,3,4,9,5,1
Air Force,mwc,149,-0.59375,0,7,2,4,3,3,9,4
Akron,mac,101,0.3,0,4,1,3,6,3,13,0
Alabama,sec,2,2.225806452,9,5,7,0,7,0,3,0
Alabama A&M,swac,315,-1.482758621,0,2,0,1,1,4,11,10
Alabama State,swac,346,-2.1,0,4,0,3,0,4,7,12
Albany (NY),america-east,342,-2.206896552,0,3,0,3,1,6,5,11
Alcorn State,swac,246,-0.387096774,0,3,1,3,2,3,15,4
American,patriot,262,-1.125,0,0,0,1,4,1,13,13
App State,sun-belt,197,-1,0,0,1,5,2,8,10,3
Arizona,pac-12,11,1.78125,8,2,6,4,5,0,7,0
Arizona State,pac-12,60,0.939393939,5,5,4,5,5,0,8,1
Arkansas,sec,20,1.0625,4,9,4,2,10,1,2,0
Arkansas State,sun-belt,283,-1.666666667,0,0,0,3,1,13,9,4
Ark-Pine Bluff,swac,332,-2.148148148,0,5,0,1,0,3,6,12
Army,patriot,248,-1.290322581,0,0,0,2,1,4,14,10
Auburn,sec,32,1.0625,3,10,6,1,8,1,3,0
Austin Peay,atlantic-sun,325,-2.142857143,0,3,0,2,1,8,5,9
Ball State,mac,150,-0.266666667,0,1,2,5,2,3,14,3
Baylor,big-12,14,1.65625,11,10,4,0,0,0,7,0
Bellarmine,atlantic-sun,257,-0.966666667,0,6,0,2,3,6,9,4
Belmont,mvc,116,0.129032258,1,1,1,4,7,5,11,1
Bethune-Cookman,swac,348,-1.933333333,0,3,0,0,0,3,10,14
Binghamton,america-east,298,-1.413793103,0,1,0,5,2,5,9,7
Boise State,mwc,26,1.35483871,3,4,9,2,6,2,5,0
Boston College,acc,168,-0.151515152,1,7,3,4,6,3,6,3
Boston University,patriot,259,-1.35483871,0,1,0,2,0,5,14,9
Bowling Green,mac,284,-1.75862069,0,1,0,3,2,9,7,7
Bradley,mvc,72,0.696969697,0,5,4,2,6,2,14,0
Brown,ivy,182,-0.444444444,0,3,0,4,4,5,10,1
Bryant,america-east,183,-0.642857143,0,2,1,3,2,3,12,5
Bucknell,patriot,293,-1.903225806,0,1,0,1,0,5,11,13
Buffalo,mac,191,-0.8,0,4,0,5,4,5,9,3
Butler,big-east,133,0.03125,2,12,3,4,2,1,7,1
BYU,wcc,85,0.0625,1,7,1,4,8,3,7,1
Cal Poly,big-west,307,-2.096774194,0,0,0,9,2,9,4,7
California,pac-12,313,-1.78125,0,9,1,10,1,6,1,4
California Baptist,wac,169,-0.741935484,0,2,1,4,6,4,8,6
Campbell,big-south,234,-1.28125,0,1,0,0,5,9,9,8
Canisius,maac,261,-1.827586207,0,2,0,3,1,5,8,10
Central Arkansas,atlantic-sun,330,-1.9,0,4,0,2,2,5,6,11
Central Conn St,northeast,343,-2.125,0,1,0,2,0,3,10,16
Central Michigan,mac,329,-1.862068966,1,2,0,2,0,9,7,8
Charleston Southern,big-south,304,-2.034482759,0,1,0,2,1,9,7,9
Charlotte,cusa,114,-0.25,1,4,1,2,5,4,11,4
Chattanooga,southern,179,-0.875,0,1,1,4,3,9,11,3
Chicago State,ind,300,-1.703703704,0,4,0,4,0,7,7,5
Cincinnati,aac,77,0.4,1,5,2,4,5,2,11,0
Citadel,southern,331,-1.806451613,0,2,0,4,2,7,7,9
Clemson,acc,51,0.84375,4,3,3,2,7,2,9,2
Cleveland State,horizon,171,-0.28125,0,0,0,5,4,5,16,2
Coastal Carolina,sun-belt,294,-1.857142857,0,1,0,3,3,8,5,8
Col of Charleston,colonial,50,1.181818182,0,1,2,0,12,2,16,0
Colgate,patriot,100,0.151515152,0,1,1,0,2,5,22,2
Colorado,pac-12,70,0.242424242,3,7,4,4,6,3,4,2
Colorado State,mwc,110,-0.15625,1,11,2,2,5,4,6,1
Columbia,ivy,341,-2.222222222,0,3,1,2,0,8,4,9
Connecticut,big-east,7,1.625,7,5,6,1,4,1,8,0
Coppin State,meac,327,-1.78125,0,3,0,3,2,9,7,8
Cornell,ivy,126,-0.12,0,2,2,2,2,6,11,0
Creighton,big-east,13,1.0625,3,8,7,2,5,1,6,0
CS Bakersfield,big-west,296,-1.677419355,0,0,0,8,2,9,7,5
CS Fullerton,big-west,122,-0.172413793,0,2,3,1,6,6,8,3
CS Northridge,big-west,333,-2.366666667,0,1,0,5,2,9,3,10
Dartmouth,ivy,278,-1.576923077,1,0,0,4,4,8,3,6
Davidson,atlantic-10,146,-0.419354839,0,4,2,4,6,6,7,2
Dayton,atlantic-10,75,0.28125,1,1,1,6,9,3,10,1
Delaware,colonial,226,-0.65625,0,2,2,3,4,7,10,4
Delaware State,meac,354,-2.357142857,0,4,0,1,0,7,5,11
Denver,summit,287,-1.366666667,0,2,0,1,0,6,13,8
DePaul,big-east,164,-0.575757576,1,13,2,6,2,3,5,1
Detroit Mercy,horizon,212,-1.1875,0,2,0,4,3,8,10,5
Drake,mvc,53,0.878787879,1,1,3,3,10,3,12,0
Drexel,colonial,190,-0.741935484,0,0,1,5,4,5,11,5
Duke,acc,19,1.28125,3,6,7,2,4,0,10,0
Duquesne,atlantic-10,132,-0.03125,0,2,2,2,7,6,11,2
East Carolina,aac,196,-0.46875,0,3,2,5,3,7,11,1
Eastern Illinois,ovc,344,-2.310344828,1,2,0,1,1,2,5,17
Eastern Kentucky,atlantic-sun,165,-0.3,0,3,1,3,6,3,10,4
Eastern Michigan,mac,320,-2,0,3,0,4,3,5,4,11
Eastern Washington,big-sky,129,0.096774194,0,1,1,4,6,3,14,2
Elon,colonial,337,-2.366666667,0,3,0,1,0,8,6,12
ETSU,southern,266,-1.733333333,0,0,0,3,3,9,7,8
Evansville,mvc,350,-2.34375,0,2,0,6,0,10,5,9
Fairfield,maac,263,-1.466666667,0,2,0,3,2,2,10,11
Fairleigh Dickinson,northeast,299,-1.15625,0,1,0,0,1,2,16,12
FGCU,atlantic-sun,181,-0.64516129,1,3,0,0,5,7,10,5
FIU,cusa,218,-0.9,0,5,2,2,4,6,6,5
Florida,sec,61,0.40625,2,13,1,2,9,1,4,0
Florida A&M,swac,359,-2.37037037,0,5,0,0,0,4,5,13
Florida Atlantic,cusa,15,1.466666667,2,1,3,2,10,0,12,0
Florida State,acc,222,-1,2,7,0,9,1,5,6,2
Fordham,atlantic-10,130,0.5625,0,2,2,1,6,3,17,1
Fresno State,mwc,145,-0.8,0,7,3,4,3,8,4,1
Furman,southern,88,0.483870968,0,1,1,1,9,3,14,2
Gardner-Webb,big-south,198,-1.24137931,0,1,0,1,2,8,11,6
George Mason,atlantic-10,139,-0.090909091,1,2,0,3,9,5,10,3
George Washington,atlantic-10,211,-0.838709677,0,0,1,4,4,9,10,3
Georgetown,big-east,242,-1.21875,0,11,1,7,0,5,6,2
Georgia,sec,152,-0.09375,1,7,3,4,2,5,10,0
Georgia Southern,sun-belt,207,-0.9,0,0,0,7,4,5,10,4
Georgia State,sun-belt,291,-2,0,1,0,3,2,10,5,7
Georgia Tech,acc,180,-0.419354839,0,8,2,6,3,3,8,1
Gonzaga,wcc,6,1.75,6,4,5,0,8,1,8,0
Grambling,swac,173,0.103448276,0,2,2,2,0,0,19,4
Grand Canyon,wac,119,0.066666667,1,2,1,1,7,7,10,1
Green Bay,horizon,361,-2.875,0,0,0,5,1,10,2,14
Hampton,colonial,349,-2.161290323,0,1,0,6,0,7,7,10
Hartford,ind,363,-3.2,0,0,0,3,0,4,2,16
Harvard,ivy,158,-0.807692308,0,2,2,4,2,3,8,5
Hawaii,big-west,128,0,0,0,2,5,4,5,15,1
High Point,big-south,290,-1.517241379,0,0,1,1,0,8,11,8
Hofstra,colonial,86,0.40625,1,2,3,1,5,4,14,2
Holy Cross,patriot,336,-2.333333333,0,1,0,2,1,2,7,17
Houston,aac,1,2.032258065,5,1,8,0,7,1,9,0
Houston Baptist,southland,357,-2.344827586,0,3,0,0,0,4,7,15
Howard,meac,217,-0.448275862,0,3,0,0,3,6,14,3
Idaho,big-sky,311,-2.166666667,0,0,0,2,4,7,4,13
Idaho State,big-sky,252,-1.8,0,0,0,6,3,6,6,9
Illinois,big-ten,35,0.9375,2,10,7,2,4,0,7,0
Illinois State,mvc,281,-1.53125,0,2,0,4,4,6,7,9
Illinois-Chicago,mvc,285,-1.322580645,0,3,0,6,0,7,11,4
Incarnate Word,southland,345,-2.035714286,0,1,0,1,1,4,8,13
Indiana,big-ten,30,1.290322581,5,8,6,2,4,0,6,0
Indiana State,mvc,95,-0.090909091,0,1,2,4,5,4,14,3
Iona,maac,62,0.40625,0,1,0,2,7,2,18,2
Iowa,big-ten,40,0.875,5,7,8,3,1,2,5,1
Iowa State,big-12,17,1.290322581,10,10,2,2,1,0,6,0
IPFW,horizon,237,-0.866666667,0,2,1,1,2,7,12,5
IUPUI,horizon,360,-2.966666667,0,2,0,1,0,8,3,16
Jackson State,swac,303,-1.09375,0,5,0,2,1,3,13,8
Jacksonville,atlantic-sun,238,-1.192307692,1,2,0,2,2,8,7,4
Jacksonville State,atlantic-sun,241,-1.357142857,0,3,0,4,2,5,8,6
James Madison,sun-belt,97,-0.033333333,0,2,1,2,9,3,9,4
Kansas,big-12,8,2.46875,16,6,4,0,3,0,3,0
Kansas State,big-12,23,1.625,9,8,5,1,2,0,7,0
Kennesaw State,atlantic-sun,113,0.548387097,0,4,2,0,8,2,13,2
Kent State,mac,66,0.8,0,3,1,1,10,1,13,1
Kentucky,sec,21,1.193548387,6,7,6,0,3,2,6,1
La Salle,atlantic-10,224,-0.941176471,0,3,0,3,7,7,8,6
Lafayette,patriot,271,-1.676470588,0,2,0,5,2,6,9,10
Lamar,southland,356,-2.607142857,0,1,0,1,0,4,6,16
Lehigh,patriot,274,-1.035714286,0,0,0,5,1,2,13,7
Liberty,atlantic-sun,43,0.483870968,0,3,1,2,6,3,16,0
Lindenwood,ovc,338,-2.137931034,0,3,0,1,0,3,8,14
Lipscomb,atlantic-sun,148,-0.466666667,0,2,1,2,5,4,11,5
Little Rock,ovc,322,-2.206896552,0,2,0,2,1,1,7,16
Long Beach State,big-west,162,-0.516129032,0,4,1,4,5,6,9,2
Long Island Univ,northeast,362,-3.296296296,0,2,0,3,0,2,1,19
Longwood,big-south,166,-0.6,0,1,0,1,2,5,16,5
Louisiana,sun-belt,89,0.633333333,0,2,1,2,10,2,12,1
Louisiana Tech,cusa,170,-0.766666667,0,6,0,5,2,7,10,0
Louisiana-Monroe,sun-belt,295,-1.620689655,0,2,1,6,2,7,5,6
Louisville,acc,316,-1.78125,0,10,1,5,0,9,3,4
Loyola (IL),atlantic-10,268,-1.35483871,0,3,1,5,3,8,6,5
Loyola (MD),patriot,321,-1.806451613,0,2,0,2,0,3,11,13
Loyola Marymount,wcc,107,0.3,2,3,3,5,4,4,9,0
LSU,sec,151,-0.242424242,1,11,1,6,3,1,9,1
Maine,america-east,275,-1.25,0,1,0,6,2,5,9,5
Manhattan,maac,302,-1.620689655,0,3,0,1,2,1,9,13
Marist,maac,282,-1.709677419,0,1,0,1,1,5,11,12
Marquette,big-east,12,1.6875,6,5,6,0,6,1,8,0
Marshall,sun-belt,83,0.387096774,0,0,2,2,8,5,13,1
Maryland,big-ten,28,1,3,9,6,2,3,0,9,0
Massachusetts,atlantic-10,202,-0.612903226,0,1,2,4,6,9,7,2
McNeese State,southland,339,-1.848484848,0,4,0,2,1,4,9,13
Memphis,aac,33,1.258064516,2,4,8,3,7,1,6,0
Mercer,southern,228,-1.451612903,0,0,0,3,1,12,11,4
Merrimack,northeast,306,-1,0,2,0,3,0,4,16,7
Miami (FL),acc,34,1.548387097,5,4,6,0,7,1,7,1
Miami (OH),mac,286,-1.689655172,0,1,0,6,1,6,8,7
Michigan,big-ten,58,0.65625,3,12,5,2,5,0,4,1
Michigan State,big-ten,31,1.3,6,9,7,1,2,1,4,0
Mid Tenn,cusa,118,-0.066666667,1,3,3,2,6,5,7,3
Milwaukee,horizon,210,-0.275862069,0,2,0,1,7,3,11,5
Minnesota,big-ten,221,-0.677419355,1,10,2,9,1,2,5,1
Miss Valley St,swac,358,-2.46875,0,4,0,5,0,2,5,16
Mississippi,sec,125,-0.424242424,1,12,1,6,4,1,6,2
Mississippi State,sec,46,0.9375,4,7,4,3,5,1,8,0
Missouri,sec,48,1.419354839,5,8,4,0,6,0,8,0
Missouri State,mvc,142,-0.35483871,1,3,2,4,4,5,9,3
Monmouth,colonial,351,-2.03030303,0,2,0,8,0,8,7,8
Montana,big-sky,167,-0.533333333,0,2,0,4,4,6,12,2
Montana State,big-sky,104,0.3125,0,2,2,1,6,5,15,1
Morehead State,ovc,229,-0.5,0,2,0,2,2,1,15,6
Morgan State,meac,292,-1.222222222,0,3,1,2,1,4,9,7
Mount St. Mary's,maac,269,-1.53125,0,3,0,2,3,3,9,12
Murray State,mvc,213,-0.387096774,1,2,1,7,3,4,11,2
Navy,patriot,174,-0.7,0,2,1,1,2,2,14,8
NC A&T,colonial,319,-1.448275862,0,3,1,2,1,8,8,6
NC Central,meac,177,-0.52,0,3,0,0,2,6,12,2
NC State,acc,45,0.939393939,1,6,7,4,5,0,10,0
NC-Asheville,big-south,140,0.375,1,2,0,0,4,2,20,3
NC-Greensboro,southern,112,-0.266666667,0,2,1,1,6,6,11,3
NC-Wilmington,colonial,144,0.40625,1,5,1,2,5,2,15,1
Nebraska,big-ten,94,0.375,4,10,3,5,2,0,7,1
Nevada,mwc,39,1.064516129,4,5,3,3,11,2,3,0
New Hampshire,america-east,267,-1.071428571,0,0,0,5,3,4,10,6
New Mexico,mwc,52,0.75,3,5,3,2,10,3,5,1
New Mexico State,wac,188,-1.285714286,0,2,1,6,2,5,3,2
New Orleans,southland,340,-1.9,0,2,0,1,1,4,9,13
Niagara,maac,244,-0.931034483,0,2,0,2,3,1,12,9
Nicholls State,southland,265,-1.074074074,0,4,0,2,0,3,12,6
NJIT,america-east,334,-2.448275862,0,0,0,4,0,7,6,12
Norfolk State,meac,185,-0.259259259,0,4,0,0,1,3,16,3
North Alabama,atlantic-sun,239,-0.586206897,0,3,1,1,4,7,10,3
North Carolina,acc,47,0.757575758,1,9,6,4,7,0,6,0
North Dakota,summit,273,-1.483870968,0,4,0,1,2,7,9,8
North Dakota St,summit,214,-0.903225806,0,5,0,3,3,2,11,7
North Florida,atlantic-sun,236,-1,0,4,0,4,4,3,8,6
North Texas,cusa,36,1.1,1,3,3,1,12,1,8,1
Northeastern,colonial,312,-1.6,0,2,0,4,1,7,9,7
Northern Arizona,big-sky,232,-1.515151515,0,4,0,4,5,7,5,8
Northern Colorado,big-sky,235,-1.193548387,0,4,1,2,0,9,11,4
Northern Illinois,mac,253,-1.066666667,0,3,2,4,0,7,10,4
Northern Iowa,mvc,215,-0.967741935,0,2,0,6,3,8,10,2
Northern Kentucky,horizon,156,-0.1875,0,2,0,3,6,4,14,3
Northwestern,big-ten,41,1.161290323,7,5,4,5,1,0,9,0
Notre Dame,acc,186,-0.96875,0,6,2,5,2,8,7,2
NW State,southland,203,-0.1875,1,3,0,0,2,3,18,5
Oakland,horizon,270,-1.193548387,0,2,0,5,3,8,9,4
Ohio,mac,134,-0.193548387,0,3,1,5,5,2,12,3
Ohio State,big-ten,56,0.272727273,3,12,6,4,0,1,6,1
